dataset,elements,processes,sequential_seconds,wall_seconds,algo_seconds,setup_seconds,scatter_seconds,initsort_seconds,stagecomm_seconds,stagecomp_seconds,gather_seconds,compute_seconds,comm_seconds,wall_speedup,wall_efficiency,algo_speedup,algo_efficiency,status
pdf_example1,4,1,0.002224809,0.188462008,0.000270789,0.000261421,7.819e-06,6.47e-07,0.0,0.0,9.02e-07,6.47e-07,8.721e-06,0.011805,0.011805,8.216024,8.216024,PASS
pdf_example1,4,2,0.002224809,0.189465854,0.000403566,0.000370483,7.581e-06,8.29e-07,1.9968e-05,7.78e-07,3.927e-06,1.607e-06,3.1476e-05,0.011743,0.005871,5.512875,2.756438,PASS
pdf_example1,4,4,0.002224809,0.20924011,0.000598006,0.000517099,1.1858e-05,3.05e-07,3.5651e-05,8.49e-07,3.2244e-05,1.154e-06,7.9753e-05,0.010633,0.002658,3.720379,0.930095,PASS
pdf_example2,8,1,0.002227098,0.182289425,0.00042078,0.000416861,2.275e-06,7.07e-07,0.0,0.0,9.37e-07,7.07e-07,3.212e-06,0.012217,0.012217,5.292785,5.292785,PASS
pdf_example2,8,2,0.002227098,0.185806432,0.000424941,0.000387509,7.454e-06,6.63e-07,8.415e-06,8.09e-07,2.0091e-05,1.472e-06,3.596e-05,0.011986,0.005993,5.240958,2.620479,PASS
pdf_example2,8,4,0.002227098,0.211479986,0.000649838,0.000584758,1.4095e-05,8.21e-07,3.9368e-05,7.84e-07,1.0012e-05,1.605e-06,6.3475e-05,0.010531,0.002633,3.427159,0.85679,PASS
pdf_example2,8,8,0.002227098,0.263826494,0.000736282,0.000584655,2.6891e-05,5.19e-07,8.5653e-05,1.69e-06,3.6874e-05,2.209e-06,0.000149418,0.008442,0.001055,3.024789,0.378099,PASS
sample_n16,16,1,0.002251897,0.17948567,0.000379396,0.000374637,3.044e-06,8.92e-07,0.0,0.0,8.23e-07,8.92e-07,3.867e-06,0.012546,0.012546,5.935479,5.935479,PASS
sample_n16,16,2,0.002251897,0.187787588,0.000453837,0.000431646,4.274e-06,8.64e-07,1.2685e-05,4.94e-07,3.874e-06,1.358e-06,2.0833e-05,0.011992,0.005996,4.961907,2.480954,PASS
sample_n16,16,4,0.002251897,0.211963305,0.000492945,0.000437881,1.3805e-05,8.37e-07,3.1044e-05,1.031e-06,8.347e-06,1.868e-06,5.3196e-05,0.010624,0.002656,4.568252,1.142063,PASS
sample_n16,16,8,0.002251897,0.26129019,0.000630323,0.000487887,2.5935e-05,9.78e-07,7.6579e-05,1.466e-06,3.7478e-05,2.444e-06,0.000139992,0.008618,0.001077,3.572608,0.446576,PASS
edge_case,8,1,0.002225166,0.178499347,0.000377864,0.000373459,2.701e-06,6.64e-07,0.0,0.0,1.04e-06,6.64e-07,3.741e-06,0.012466,0.012466,5.888801,5.888801,PASS
edge_case,8,2,0.002225166,0.183229845,0.00044534,0.000415976,6.902e-06,7.5e-07,1.7044e-05,8.66e-07,3.802e-06,1.616e-06,2.7748e-05,0.012144,0.006072,4.996555,2.498277,PASS
edge_case,8,4,0.002225166,0.210580395,0.000584904,0.000505774,1.5494e-05,9.98e-07,3.3145e-05,9.42e-07,2.8551e-05,1.94e-06,7.719e-05,0.010567,0.002642,3.804327,0.951082,PASS
edge_case,8,8,0.002225166,0.263964444,0.000694397,0.000560978,3.5404e-05,3.68e-07,8.2693e-05,1.356e-06,1.3598e-05,1.724e-06,0.000131695,0.00843,0.001054,3.204458,0.400557,PASS
