graph,vertices,edges,processes,sequential_seconds,mpi_seconds,speedup,efficiency,triangles
pdf_example,4,5,1,0.0,0.27,0.0,0.0,2
pdf_example,4,5,2,0.0,0.27,0.0,0.0,2
pdf_example,4,5,4,0.0,0.3,0.0,0.0,2
pdf_example,4,5,8,0.0,0.32,0.0,0.0,2
edge_case,3,3,1,0.0,0.22,0.0,0.0,1
edge_case,3,3,2,0.0,0.25,0.0,0.0,1
edge_case,3,3,4,0.0,0.31,0.0,0.0,1
edge_case,3,3,8,0.0,0.28,0.0,0.0,1
small_k4,4,6,1,0.0,0.2,0.0,0.0,4
small_k4,4,6,2,0.0,0.27,0.0,0.0,4
small_k4,4,6,4,0.0,0.32,0.0,0.0,4
small_k4,4,6,8,0.0,0.31,0.0,0.0,4
medium_500,500,5000,1,0.0,0.22,0.0,0.0,1284
medium_500,500,5000,2,0.0,0.24,0.0,0.0,1284
medium_500,500,5000,4,0.0,0.31,0.0,0.0,1284
medium_500,500,5000,8,0.0,0.31,0.0,0.0,1284
large_max,100000,1000000,1,0.35,0.59,0.59322,0.59322,1300
large_max,100000,1000000,2,0.35,0.8,0.4375,0.21875,1300
large_max,100000,1000000,4,0.35,0.85,0.411765,0.102941,1300
large_max,100000,1000000,8,0.35,0.85,0.411765,0.051471,1300
