dataset,records,processes,sequential_seconds,wall_seconds,compute_seconds,comm_seconds,speedup,efficiency,status
sample_q8,5,1,0.002778559,0.167677975,4.677e-06,4.839e-06,0.016571,0.016571,PASS
sample_q8,5,2,0.002778559,0.182845184,2.999e-06,0.000550657,0.015196,0.007598,PASS
sample_q8,5,4,0.002778559,0.241508135,3.238e-06,0.000536642,0.011505,0.002876,PASS
sample_q8,5,8,0.002778559,0.353857691,2.902e-06,0.000560501,0.007852,0.000981,PASS
small_100,100,1,0.002965829,0.161849486,1.7948e-05,8.221e-06,0.018325,0.018325,PASS
small_100,100,2,0.002965829,0.186436504,1.2227e-05,0.000256298,0.015908,0.007954,PASS
small_100,100,4,0.002965829,0.241074393,9.909e-06,0.000250702,0.012303,0.003076,PASS
small_100,100,8,0.002965829,0.350593178,8.894e-06,0.000332844,0.008459,0.001057,PASS
medium_10k,10000,1,0.016759853,0.173228974,0.000570008,2.8596e-05,0.09675,0.09675,PASS
medium_10k,10000,2,0.016759853,0.184251491,0.00037968,0.000306012,0.090962,0.045481,PASS
medium_10k,10000,4,0.016759853,0.251855097,0.000239333,0.000319051,0.066546,0.016636,PASS
medium_10k,10000,8,0.016759853,0.36520802,0.000152955,0.000438173,0.045891,0.005736,PASS
large_100k,100000,1,0.131702438,0.295348706,0.00486058,3.6165e-05,0.445922,0.445922,PASS
large_100k,100000,2,0.131702438,0.299558421,0.00240026,0.000384667,0.439655,0.219828,PASS
large_100k,100000,4,0.131702438,0.380797395,0.0013755,0.000336683,0.34586,0.086465,PASS
large_100k,100000,8,0.131702438,0.532929503,0.000751721,0.00144192,0.247129,0.030891,PASS
large_1m,1000000,1,1.273702632,1.537481115,0.0453128,5.9004e-05,0.828435,0.828435,PASS
large_1m,1000000,2,1.273702632,1.534062993,0.0227594,0.000498884,0.830281,0.415141,PASS
large_1m,1000000,4,1.273702632,1.599460408,0.0120454,0.000388441,0.796333,0.199083,PASS
large_1m,1000000,8,1.273702632,1.739035784,0.00624888,0.00985486,0.732419,0.091552,PASS
